,train_losses,test_losses
0,0.9551613166670881,0.8226406946968849
1,0.773900035856934,0.7541080268142778
2,0.7395024583153593,0.7450976328319295
3,0.7313757836246674,0.738929828338306
4,0.7277766506182255,0.7405770392064244
5,0.7252124659502575,0.7367793731677258
6,0.7227350517068242,0.7351969379903106
7,0.720135972771367,0.7312677335708647
8,0.7170072207829163,0.7294735667650657
9,0.713307412709476,0.7253775208654916
10,0.7090996085110186,0.7261198169130194
11,0.7042877495822736,0.71913296754098
12,0.6993875389326404,0.7162629353725697
13,0.6944355859790028,0.7119455560089072
14,0.689823282028114,0.7085175044701227
15,0.6854648028172061,0.7049397722534512
16,0.6817526118883473,0.7044210221304004
17,0.6784169463987771,0.7012572439430315
18,0.6754719923683564,0.6998990043959654
19,0.6729367089363069,0.698385123935197
20,0.6707377378672114,0.6978097084690543
21,0.6687782762985693,0.6975539985977476
22,0.6670520634355258,0.6986134485972811
23,0.6655817817436603,0.6974411414712286
24,0.6639690169407936,0.6959175106204684
25,0.6626589231893792,0.6956955631218298
26,0.6613256827387685,0.6957992325963267
27,0.6601618131383138,0.6948432143386978
28,0.6589694565218073,0.6962743732325561
29,0.6578703182901393,0.6980138808260183
30,0.6568183340251408,0.6957142384308378
31,0.6557108225039924,0.696937586340453
32,0.6546809720977788,0.6963023878729252
33,0.6536239848942308,0.6974075363420159
34,0.6525679222872375,0.6970585814827238
35,0.6516366113818615,0.6966085388989705
36,0.650579628964227,0.6968727347338596
37,0.6495848194346242,0.6962046674297898
38,0.6486557022890675,0.6978325501579763
39,0.647662552155826,0.6990467464679953
40,0.6466318849028492,0.6994764452700115
41,0.6455844278260827,0.6975853287655375
42,0.6446172945101293,0.6984397466377834
43,0.6436243135427254,0.7012926597729363
44,0.642696086729633,0.6979202836218392
45,0.6415720435570846,0.699169544993764
46,0.640670076765773,0.7008647461376531
47,0.6397159334870386,0.6988860619494982
48,0.6386496473678167,0.699483667645613
49,0.637654786508814,0.7000630503267888
